z	press	T	Td	WD	WS
2	1016	15.2	7.2	90	3
27	1013	16.6	6.6	NaN	NaN
103	1004	NaN	NaN	120	10
137	1000	19.6	6.6	125	10
171	996	20.2	5.2	NaN	NaN
188	994	NaN	NaN	130	11
539	954	18.2	3.2	NaN	NaN
648	942	NaN	NaN	150	7
805	925	15.8	1.8	150	7
1007	903	NaN	NaN	145	6
1223	880	NaN	NaN	145	7
1515	850	9.0	1.0	150	6
1837	817	NaN	NaN	170	5
1980	803	5.0	-2.0	NaN	NaN
2010	800	6.4	-14.6	165	3
2030	798	6.8	-18.2	NaN	NaN
2092	792	7.0	-24.0	NaN	NaN
2699	735	3.0	-23.0	NaN	NaN
3097	700	-0.5	-20.5	115	2
3154	695	-1.1	-20.1	NaN	NaN
3231	688	NaN	NaN	125	1
3551	661	-3.3	-40.3	NaN	NaN
3744	645	-3.7	-42.7	NaN	NaN
4296	600	NaN	NaN	135	8
4372	594	NaN	NaN	135	8
4836	559	NaN	NaN	150	8
5058	544	-14.3	-46.3	NaN	NaN
5440	517	-18.1	-47.1	NaN	NaN
5690	500	-19.9	-41.9	150	9
