z	press	T	Td	WD	WS
2	1010	22.6	16.6	145	5
86	1000	21.4	14.4	145	7
686	932	15.8	12.2	NaN	NaN
756	925	15.4	12.0	165	12
838	916	14.6	11.8	NaN	NaN
1005	898	NaN	NaN	180	14
1147	883	NaN	NaN	190	16
1183	879	12.6	6.6	NaN	NaN
1202	877	13.2	5.2	NaN	NaN
1366	860	13.0	2.0	NaN	NaN
1426	854	14.0	4.0	NaN	NaN
1469	850	13.8	3.8	190	22
1527	844	NaN	NaN	190	22
1968	800	NaN	NaN	175	19
1994	798	9.8	2.8	NaN	NaN
2320	767	6.6	1.5	NaN	NaN
2406	759	NaN	NaN	170	16
2612	740	4.8	0.6	NaN	NaN
3070	700	0.6	-0.7	170	18
3208	688	-0.5	-1.2	NaN	NaN
3709	645	NaN	NaN	180	19
4271	600	NaN	NaN	170	18
4807	560	NaN	NaN	155	19
5211	532	-12.3	-15.2	NaN	NaN
5312	525	-13.3	-15.4	NaN	NaN
5690	500	-15.7	-18.5	150	22
