z	press	T	Td	WD	WS
2	1015	25.0	6.0	145	6
36	1011	22.8	1.7	NaN	NaN
133	1000	21.8	1.7	135	9
801	925	15.4	1.3	125	9
956	908	NaN	NaN	120	8
1002	903	NaN	NaN	120	8
1510	850	8.6	-0.3	130	10
1646	836	7.6	-3.4	NaN	NaN
1656	835	7.6	-3.4	NaN	NaN
1666	834	8.6	-6.3	NaN	NaN
1715	829	8.8	-12.2	NaN	NaN
1826	818	7.8	-14.2	NaN	NaN
1865	814	8.6	-22.4	NaN	NaN
1987	802	8.0	-24.0	NaN	NaN
2007	800	NaN	NaN	145	8
2436	759	4.0	-20.0	NaN	NaN
2511	752	NaN	NaN	155	7
2533	750	4.2	-28.8	NaN	NaN
2587	745	4.0	-32.0	NaN	NaN
3046	704	NaN	NaN	140	8
3093	700	0.6	-33.4	140	8
3465	667	NaN	NaN	155	9
3852	636	-4.5	-29.5	NaN	NaN
3864	635	NaN	NaN	145	12
4297	600	NaN	NaN	150	9
5690	500	-20.1	-41.1	160	7
