           freq              Su              Sv              Sw
       2.749073        0.002042        0.002791        0.002693
       2.890057        0.001816        0.002421        0.002445
       3.038282        0.001668        0.002218        0.002506
       3.194000        0.001481        0.002139        0.002017
       3.357720        0.001436        0.002088        0.001987
       3.529950        0.001285        0.001868        0.001863
       3.710943        0.001205        0.001836        0.001846
       3.901209        0.001113        0.001705        0.001568
       4.101255        0.001028        0.001586        0.001390
       4.311462        0.000938        0.001470        0.001405
       4.532464        0.000947        0.001392        0.001298
       4.764899        0.000943        0.001414        0.001284
